Student,Exam,Minute,EDA,BVP,TEMP,HR,Grade
S1,Final,179,0.217762208,0.137552083,29.636,105.0466667,182
S10,Final,0,0.019592583,0.067786458,22.66733333,79.43433333,116
S10,Final,1,0.019896879,0.542578125,22.22233333,83.754,116
S10,Final,2,0.019955604,-0.608244792,21.985,107.8081667,116
S10,Final,3,0.019923571,-0.018481771,22.30166667,99.50333333,116
S10,Final,4,0.020051667,-0.005265625,22.35466667,76.29216667,116
S10,Final,5,0.020094371,0.010591146,22.217,74.63433333,116
S10,Final,6,0.020169104,-0.122164062,20.15466667,107.5166667,116
S10,Final,7,0.020014333,0.133223958,19.179,106.6561667,116
S10,Final,8,0.02012105,-0.065802083,19.40266667,129.0336667,116
S10,Final,9,0.020030325,0.074598958,17.81716667,101.9548333,116
S10,Final,10,0.019320383,0.008395833,19.33966667,86.306,116
S10,Final,11,0.018925417,-0.013606771,20.42066667,114.6698333,116
S10,Final,12,0.01887205,-0.003653646,20.59566667,137.0478333,116
S10,Final,13,0.018904075,0.005408854,21.01033333,127.2068333,116
S10,Final,14,0.01891475,0.002080729,21.153,117.5705,116
S10,Final,15,0.018957458,-0.000739583,21.14666667,114.6596667,116
S10,Final,16,0.018989479,-0.005677083,21.17166667,115.3586667,116
S10,Final,17,0.018968117,0.002479167,21.29333333,118.8843333,116
S10,Final,18,0.019005504,-0.047403646,21.34066667,112.5883333,116
S10,Final,19,0.019256346,0.125861979,20.52783333,88.51266667,116
S10,Final,20,0.058339704,-0.143348958,21.2165,87.12383333,116
S10,Final,21,0.055894788,0.392559896,26.274,80.84383333,116
S10,Final,22,0.163455987,-0.284361979,29.28633333,74.69833333,116
S10,Final,23,0.169744792,-0.047585937,29.677,81.2765,116
S10,Final,24,0.201514546,0.273835938,30.07466667,84.972,116
S10,Final,25,0.236893092,-0.193190104,30.076,88.82566667,116
S10,Final,26,0.25121125,-0.049083333,30.07766667,85.14216667,116
S10,Final,27,0.278277733,-0.014408854,30.12466667,79.492,116
S10,Final,28,0.309582867,0.032671875,30.23333333,79.86483333,116
S10,Final,29,0.335928737,0.287507813,30.21833333,84.65666667,116
S10,Final,30,0.366919088,0.341158854,30.04266667,82.7775,116
S10,Final,31,0.387563275,-0.614927083,30.08333333,74.86416667,116
S10,Final,32,0.226379663,0.333635417,30.19466667,85.266,116
S10,Final,33,0.11954635,-0.301966146,30.02933333,75.1235,116
S10,Final,34,0.125872533,-0.062721354,30.06666667,75.10583333,116
S10,Final,35,0.129000996,-0.127885417,30.26533333,74.94566667,116
S10,Final,36,0.114501304,0.074505208,30.40833333,75.07983333,116
S10,Final,37,0.131494025,0.159213542,30.409,81.86,116
S10,Final,38,0.130143408,-0.128903646,30.56266667,83.95216667,116
S10,Final,39,0.124836892,-0.024401042,30.635,81.39316667,116
S10,Final,40,0.133538721,0.011960937,30.889,84.6975,116
S10,Final,41,0.128509796,-0.107755208,30.905,87.096,116
S10,Final,42,0.139042742,0.077033854,30.767,80.82016667,116
S10,Final,43,0.157914483,-0.026140625,30.728,82.5015,116
S10,Final,44,0.158026629,-0.403164063,30.69133333,76.5255,116
S10,Final,45,0.147952792,0.841955729,30.81266667,70.80283333,116
S10,Final,46,0.174485313,-0.565083333,30.96,88.02033333,116
S10,Final,47,0.167716033,0.286630208,31.053,108.2415,116
S10,Final,48,0.183854508,-0.431682292,31.01433333,80.856,116
S10,Final,49,0.1835021,0.236700521,30.741,85.28783333,116
S10,Final,50,0.1626178,0.28040625,30.76066667,107.7138333,116
S10,Final,51,0.183213883,0.3473125,30.51266667,83.10916667,116
S10,Final,52,0.180587325,-0.664908854,30.427,81.34233333,116
S10,Final,53,0.170502817,0.15915625,30.53333333,82.60783333,116
S10,Final,54,0.164027133,-0.025505208,30.64366667,81.30883333,116
S10,Final,55,0.156814746,0.014369792,30.703,71.9605,116
S10,Final,56,0.155661654,0.314919271,30.52733333,84.6075,116
S10,Final,57,0.140521513,-0.318875,30.171,78.434,116
S10,Final,58,0.141001988,0.723713542,29.96466667,76.88166667,116
S10,Final,59,0.148289108,-0.505945313,30.13466667,77.71033333,116
S10,Final,60,0.153296679,-0.318335938,30.31333333,80.02683333,116
S10,Final,61,0.15341945,-0.409421875,30.24933333,83.74216667,116
S10,Final,62,0.137836271,0.580614583,30.044,78.01716667,116
S10,Final,63,0.138583667,-0.141369792,29.84233333,72.70866667,116
S10,Final,64,0.140356033,0.096875,30.04766667,101.6055,116
